id,product_name,image_name,Description,category,color_name,color_hex,net_weight_grams,top_pick,whats_new
77,Body Gel,bodyGel.jpg,"Stand out and sparkle (literally) at the party with this water-based body glitter. It’s non-greasy, so it never feels uncomfortable even under hot lights, and it washes off easily so you don’t have to pick stray bits of glitter off your skin for the next week. Best places to apply this product? The collarbone, shoulders, and arms.",SKIN,White,ffffff,28g,,
78,Leg Foundation,legFoundation.jpg,"Say goodbye to long sleeves, pants, and skirts on hot days! Despite its name, this product is more than just for your legs—it’s great for arms and stretch marks too (rejoice, mommies!). This non-greasy foundation provides amazingly heavy coverage, evens out skin tone, and minimizing scars and dark areas. It’s made of an enhanced waterproof formula that contains tea tree oil to banish blemishes and Pearl-Shine to give your skin a bright, healthy glow. Just apply, blend, and leave to dry or seal with Fashion 21 loose powder for maximum effect",SKIN,,f9cca3,75mL,,
